x	sh(x)
0.00	0.0000
0.20	0.2013
0.40	0.4108
0.60	0.6367
0.80	0.8881
1.00	1.1752

x	f(x)
-3.00	-0.9975
-2.85	-0.9967
-2.70	-0.9955
-2.55	-0.9939
-2.40	-0.9918
-2.25	-0.9889
-2.10	-0.9850
-1.95	-1.9723
-1.80	-1.8392
-1.65	-1.7157
-1.50	-1.6054
-1.35	-1.5116
-1.20	-1.4369
-1.05	-1.3820
-0.90	-1.3449
-0.75	-1.3198
-0.60	-1.2977
-0.45	-1.2667
-0.30	-1.2139
-0.15	-1.1278
-0.00	-1.0000
0.15	-0.8278
0.30	-0.6139
0.45	-0.3667
0.60	-0.0977
0.75	0.1802
0.90	0.4551
1.05	0.7180
1.20	0.9631
1.35	1.1884
1.50	1.3946
1.65	1.5843
1.80	1.7608
1.95	1.9277
2.10	1.7039
2.25	1.6641
2.40	1.6270
2.55	1.5922
2.70	1.5596
2.85	1.5289
3.00	1.5000
